ts,cpu_percent,memory_percent,memory_used_mb,memory_total_mb,tcp_established,bytes_sent,bytes_recv,network_usage_percent
1763322694,22.1,92.3,15055.41,16306.3,11,17910605522,45774098367,0.0
1763322695,21.3,92.3,15055.72,16306.3,11,17910615039,45774131358,0.0
1763322696,24.7,92.3,15055.3,16306.3,11,17910618277,45774165458,0.0
1763322697,23.6,92.4,15066.6,16306.3,11,17910618383,45774165532,0.0
1763322698,31.4,92.4,15063.86,16306.3,11,17910618791,45774166825,0.0
1763322699,21.4,92.4,15063.97,16306.3,11,17910618897,45774166899,0.0
1763322700,24.3,92.4,15064.36,16306.3,11,17910619045,45774167103,0.0
1763322701,23.2,92.4,15064.19,16306.3,11,17910619235,45774167487,0.0
1763322702,23.0,92.4,15063.55,16306.3,10,17910619458,45774167921,0.0
1763322703,22.4,92.4,15064.25,16306.3,10,17910619606,45774168023,0.0
1763322704,29.1,92.4,15072.51,16306.3,10,17910688260,45782382510,6.5
1763322705,35.6,92.4,15074.39,16306.3,10,17910773102,45792427575,8.0
1763322706,24.3,92.5,15079.24,16306.3,10,17910803772,45796106845,2.9
1763322707,23.1,92.5,15080.03,16306.3,10,17910804183,45796107306,0.0
1763322708,22.3,92.5,15083.35,16306.3,11,17910814215,45796131064,0.0
1763322709,23.1,92.4,15067.54,16306.3,11,17910814865,45796135669,0.0
1763322710,25.2,92.4,15073.34,16306.3,11,17910814981,45796136027,0.0
1763322711,22.5,92.5,15079.66,16306.3,11,17910814981,45796136027,0.0
1763322712,22.2,92.5,15081.12,16306.3,11,17910815438,45796136449,0.0
1763322713,20.9,92.5,15080.98,16306.3,11,17910815554,45796136731,0.0
1763322714,24.3,92.5,15080.89,16306.3,11,17910815660,45796136805,0.0
1763322715,21.9,92.5,15081.21,16306.3,11,17910821484,45796137472,0.0
1763322716,23.5,92.5,15083.42,16306.3,11,17910821785,45796137905,0.0
1763322717,23.0,92.5,15081.98,16306.3,11,17910822007,45796138211,0.0
1763322718,25.5,92.4,15071.16,16306.3,11,17910822081,45796138415,0.0
1763322719,22.7,92.4,15070.67,16306.3,11,17910822823,45796139250,0.0
1763322720,24.6,92.5,15079.3,16306.3,10,17910823119,45796139931,0.0
1763322721,23.0,92.5,15075.51,16306.3,10,17910823267,45796140135,0.0
1763322722,23.6,92.5,15079.68,16306.3,10,17910823383,45796140357,0.0
1763322723,22.9,92.5,15076.21,16306.3,10,17910823531,45796140561,0.0
1763322724,23.3,92.4,15073.94,16306.3,9,17910823827,45796140839,0.0
1763322725,24.8,92.5,15079.38,16306.3,9,17910826295,45796141696,0.0
1763322726,22.5,92.5,15079.64,16306.3,9,17910832012,45796141798,0.0
1763322727,31.3,92.5,15084.88,16306.3,9,17910921413,45806732298,8.5
1763322728,31.2,92.5,15082.75,16306.3,9,17910990304,45815253478,6.8
1763322729,24.7,92.5,15084.26,16306.3,9,17911002990,45816846432,1.3
1763322730,25.1,92.5,15083.97,16306.3,9,17911003193,45816846702,0.0
1763322731,21.2,92.5,15082.97,16306.3,9,17911003309,45816846984,0.0
1763322732,21.5,92.5,15084.63,16306.3,9,17911004598,45816847583,0.0
1763322733,22.6,92.5,15085.05,16306.3,9,17911004820,45816847889,0.0
1763322734,24.1,92.5,15084.97,16306.3,9,17911004936,45816848171,0.0
1763322735,22.4,92.5,15085.03,16306.3,9,17911010982,45816848772,0.0
1763322736,21.8,92.5,15084.85,16306.3,9,17911011246,45816849257,0.0
1763322737,25.0,92.5,15089.04,16306.3,9,17911011246,45816849257,0.0
1763322738,28.8,92.5,15080.67,16306.3,9,17911011320,45816849359,0.0
1763322739,25.1,92.5,15089.01,16306.3,9,17911011570,45816849815,0.0
1763322740,23.0,92.5,15081.07,16306.3,9,17911011834,45816850199,0.0
1763322741,24.2,92.5,15083.92,16306.3,9,17911011982,45816850403,0.0
1763322742,21.4,92.5,15085.34,16306.3,9,17911012278,45816850873,0.0
1763322743,22.2,92.5,15080.73,16306.3,9,17911012532,45816851237,0.0
1763322744,23.1,92.5,15086.35,16306.3,9,17911012815,45816854504,0.0
1763322745,20.7,92.5,15085.58,16306.3,9,17911015242,45816855105,0.0
1763322746,22.5,92.5,15089.41,16306.3,9,17911015432,45816855549,0.0
1763322747,21.7,92.5,15085.96,16306.3,9,17911015506,45816855651,0.0
1763322748,24.4,92.6,15094.07,16306.3,9,17911037919,45819185615,1.9
1763322749,26.3,92.6,15098.32,16306.3,10,17911124944,45829438936,8.2
1763322750,32.5,92.6,15094.48,16306.3,10,17911193450,45837951745,6.8
1763322751,25.1,92.5,15091.23,16306.3,10,17911223417,45841631979,2.9
1763322752,20.6,92.6,15095.78,16306.3,10,17911223472,45841632045,0.0
1763322753,23.9,92.6,15104.65,16306.3,10,17911223620,45841632249,0.0
1763322754,28.7,92.6,15098.54,16306.3,10,17911223780,45841632513,0.0
1763322755,22.4,92.6,15099.79,16306.3,10,17911229610,45841633151,0.0
1763322756,21.0,92.6,15097.57,16306.3,10,17911229610,45841633151,0.0
1763322757,19.7,92.6,15099.88,16306.3,10,17911229758,45841633465,0.0
1763322758,20.7,92.6,15100.32,16306.3,10,17911229969,45841633613,0.0
1763322759,22.9,92.6,15104.2,16306.3,10,17911230043,45841633715,0.0
1763322760,20.8,92.6,15104.94,16306.3,10,17911230191,45841633919,0.0
1763322761,19.7,92.6,15103.7,16306.3,10,17911230455,45841634579,0.0
1763322762,21.3,92.6,15104.39,16306.3,9,17911230854,45841635216,0.0
1763322763,21.9,92.7,15117.29,16306.3,9,17911230928,45841635318,0.0
1763322764,22.4,92.7,15122.3,16306.3,9,17911231118,45841635865,0.0
1763322765,21.6,92.8,15124.33,16306.3,9,17911233405,45841636263,0.0
1763322766,20.1,92.8,15126.1,16306.3,9,17911233708,45841636895,0.0
1763322767,20.3,92.8,15126.18,16306.3,9,17911233708,45841636895,0.0
1763322768,24.0,92.8,15127.7,16306.3,9,17911233708,45841636895,0.0
1763322769,30.1,92.6,15095.05,16306.3,9,17911249860,45843231120,1.3
1763322770,27.8,92.7,15122.78,16306.3,9,17911332503,45853534472,8.2
1763322771,23.0,92.7,15117.48,16306.3,9,17911368924,45857228077,2.9
1763322772,22.5,92.7,15120.04,16306.3,9,17911370222,45857228757,0.0
1763322773,21.3,92.8,15124.87,16306.3,9,17911370328,45857228831,0.0
1763322775,18.3,92.8,15124.97,16306.3,9,17911370433,45857228905,0.0
1763322776,20.2,92.8,15125.27,16306.3,9,17911376149,45857229609,0.0
1763322777,21.4,92.8,15125.23,16306.3,9,17911376149,45857229609,0.0
1763322778,21.6,92.8,15124.87,16306.3,9,17911376149,45857229609,0.0
1763322779,30.5,92.8,15124.66,16306.3,9,17911376191,45857229849,0.0
1763322780,21.2,92.7,15121.59,16306.3,9,17911376965,45857230766,0.0
1763322781,23.5,92.7,15122.97,16306.3,9,17911377039,45857230766,0.0
1763322782,21.5,92.8,15125.75,16306.3,9,17911377081,45857231047,0.0
1763322783,23.8,92.8,15124.65,16306.3,9,17911377155,45857231047,0.0
1763322784,22.1,92.7,15122.06,16306.3,9,17911377155,45857231047,0.0
1763322785,21.6,92.8,15130.03,16306.3,9,17911379319,45857231267,0.0
1763322786,22.1,92.8,15129.67,16306.3,9,17911379555,45857233719,0.0
1763322787,22.6,92.8,15130.09,16306.3,9,17911379661,45857234149,0.0
1763322788,21.4,92.8,15130.16,16306.3,9,17911379778,45857234961,0.0
1763322789,21.1,92.8,15131.35,16306.3,9,17911379884,45857235077,0.0
1763322790,25.0,92.8,15132.3,16306.3,9,17911379884,45857235077,0.0
1763322791,23.4,92.8,15131.69,16306.3,9,17911380031,45857235331,0.0
1763322792,24.6,92.8,15132.25,16306.3,9,17911404353,45859893157,2.1
1763322793,34.7,93.0,15169.2,16306.3,9,17911502934,45872125674,9.7
1763322794,31.4,93.1,15174.2,16306.3,9,17911567181,45879979230,6.3
1763322795,24.7,93.0,15170.39,16306.3,9,17911591907,45881971009,1.6
1763322796,22.9,93.0,15172.25,16306.3,9,17911592268,45881971551,0.0
1763322797,19.7,93.0,15172.13,16306.3,9,17911592310,45881971731,0.0
1763322798,20.2,93.1,15173.63,16306.3,9,17911592384,45881971832,0.0
1763322799,22.3,93.1,15177.14,16306.3,9,17911592572,45881971992,0.0
1763322800,22.3,93.1,15177.91,16306.3,9,17911592688,45881972350,0.0
1763322801,24.0,93.1,15180.09,16306.3,9,17911592688,45881972350,0.0
1763322802,20.3,93.1,15179.95,16306.3,9,17911592794,45881972424,0.0
1763322803,21.1,93.1,15182.46,16306.3,9,17911592836,45881972604,0.0
1763322804,27.5,93.0,15166.1,16306.3,9,17911592942,45881972678,0.0
1763322805,24.6,93.1,15177.75,16306.3,9,17911595238,45881973221,0.0
1763322806,21.8,93.0,15160.49,16306.3,10,17911624237,45881986823,0.0
1763322807,9.6,93.1,15175.89,16306.3,10,17911681073,45882044349,0.1
1763322808,9.7,93.0,15171.73,16306.3,10,17911681548,45882069463,0.0
1763322809,9.9,93.1,15176.29,16306.3,10,17911681590,45882069643,0.0
1763322810,10.7,93.1,15179.57,16306.3,10,17911683309,45882072620,0.0
1763322811,10.4,93.0,15169.68,16306.3,10,17911683543,45882072910,0.0
1763322812,9.7,93.0,15171.14,16306.3,10,17911684936,45882074316,0.0
